Brand,Customer Id,Online Order,Order Status,Product Class,Product Id,Product Line,Product Size,Transaction Date,Transaction Date1,Transaction Id,List Price,Product First Sold Date,Profit,Standard Cost
Solex,1305,True,Approved,medium,81,Standard,medium,June,10-06-2017,48,1151.96,41009,502.47,649.49
OHM Cycles,1251,False,Approved,medium,86,Standard,medium,June,17-06-2017,49,235.63,38206,110.56,125.07
Giant Bicycles,3103,False,Approved,medium,32,Standard,medium,May,10-05-2017,50,642.7,37337,431.33,211.37
Norco Bicycles,3108,False,Approved,medium,77,Road,large,March,24-03-2017,51,1240.31,40553,445.21,795.1
Giant Bicycles,857,False,Approved,medium,96,Standard,large,November,27-11-2017,52,1635.3,39427,641.64,993.66
OHM Cycles,3455,True,Approved,high,6,Standard,medium,December,21-12-2017,53,227.88,33549,91.15,136.73
Trek Bicycles,2549,True,Approved,medium,27,Standard,medium,February,09-02-2017,54,499.53,34527,110.81,388.72
Norco Bicycles,3140,False,Approved,low,0,Standard,medium,September,18-09-2017,55,363.01,38482,72.6,290.41
Trek Bicycles,3406,False,Approved,low,47,Road,small,November,14-11-2017,56,1720.7,35470,189.28,1531.42
Giant Bicycles,2294,True,Approved,medium,94,Standard,large,August,30-08-2017,57,1635.3,41434,641.64,993.66
Solex,1031,False,Approved,medium,91,Standard,medium,November,14-11-2017,58,100.35,36367,25.09,75.26
OHM Cycles,993,True,Approved,high,93,Standard,medium,February,15-02-2017,59,1458.17,38750,583.27,874.9
Giant Bicycles,3473,False,Approved,high,60,Standard,small,December,18-12-2017,60,1977.36,41848,217.51,1759.85
OHM Cycles,1839,False,Approved,high,0,Road,large,February,24-02-2017,61,12.01,34244,4.8,7.21
Giant Bicycles,1824,True,Approved,medium,33,Standard,small,December,18-12-2017,62,1311.44,33888,144.26,1167.18
Giant Bicycles,368,False,Approved,medium,35,Standard,medium,December,17-12-2017,63,1403.5,42688,448.68,954.82
Trek Bicycles,2000,False,Approved,medium,0,Standard,medium,July,08-07-2017,64,499.53,39031,110.81,388.72
Norco Bicycles,825,True,Approved,medium,28,Standard,small,May,16-05-2017,65,1216.14,42696,133.78,1082.36
OHM Cycles,3315,True,Approved,medium,86,Standard,medium,February,23-02-2017,66,235.63,36367,110.56,125.07
Solex,75,True,Approved,medium,2,Standard,medium,July,03-07-2017,67,71.49,41245,17.87,53.62
Giant Bicycles,1498,True,Approved,high,4,Standard,medium,September,30-09-2017,68,1129.13,38258,451.65,677.48
Trek Bicycles,1612,True,Approved,medium,38,Standard,large,October,21-10-2017,69,2091.47,41167,1702.55,388.92
Trek Bicycles,2192,True,Approved,medium,27,Standard,medium,May,06-05-2017,70,499.53,36334,110.81,388.72
WeareA2B,419,False,Approved,medium,54,Standard,medium,January,03-01-2017,71,1292.84,39915,1279.4,13.44
WeareA2B,3307,True,Approved,medium,77,Standard,medium,May,09-05-2017,72,1769.64,40672,1660.88,108.76
WeareA2B,2430,False,Approved,medium,22,Standard,medium,July,23-07-2017,73,60.34,34165,15.08,45.26
OHM Cycles,1506,True,Approved,medium,56,Standard,medium,January,21-01-2017,74,183.86,35707,45.96,137.9
OHM Cycles,1346,False,Approved,medium,58,Standard,medium,June,20-06-2017,75,912.52,42295,771.12,141.4
WeareA2B,927,False,Approved,medium,22,Standard,medium,March,10-03-2017,76,60.34,33552,15.08,45.26
WeareA2B,763,False,Approved,medium,50,Standard,small,June,02-06-2017,77,175.89,37668,43.97,131.92
OHM Cycles,2397,False,Approved,low,80,Touring,medium,November,07-11-2017,78,1073.07,36145,139.23,933.84
Giant Bicycles,102,True,Approved,high,87,Standard,medium,September,12-09-2017,79,1179,35667,471.6,707.4
Norco Bicycles,2884,False,Approved,low,15,Standard,medium,December,16-12-2017,80,958.74,38693,209.84,748.9
Giant Bicycles,759,True,Approved,medium,84,Road,medium,October,07-10-2017,81,792.9,33879,198.22,594.68
Solex,773,True,Approved,medium,21,Standard,large,April,27-04-2017,82,1071.23,40670,690.49,380.74
OHM Cycles,3398,True,Approved,medium,0,Standard,medium,April,01-04-2017,83,235.63,37626,110.56,125.07
Giant Bicycles,3297,True,Approved,medium,33,Standard,small,November,02-11-2017,84,1311.44,33888,144.26,1167.18
Trek Bicycles,2434,True,Approved,medium,84,Road,medium,February,13-02-2017,85,290.62,38339,75.48,215.14
Giant Bicycles,1861,False,Approved,medium,1,Standard,medium,July,19-07-2017,86,1403.5,38258,448.68,954.82
Trek Bicycles,1233,False,Approved,medium,27,Standard,medium,May,23-05-2017,87,499.53,33455,110.81,388.72
WeareA2B,1390,False,Approved,medium,31,Standard,medium,August,06-08-2017,88,752.64,34079,547.28,205.36
OHM Cycles,2682,True,Approved,high,0,Road,large,April,04-04-2017,89,12.01,40303,4.8,7.21
Solex,439,True,Approved,medium,62,Standard,medium,August,15-08-2017,90,478.16,34143,179.44,298.72
Solex,1579,True,Approved,high,17,Standard,medium,April,15-04-2017,91,1024.66,35160,409.86,614.8
Solex,2984,True,Approved,medium,73,Standard,medium,July,25-07-2017,92,1945.43,36668,1612.25,333.18
Giant Bicycles,3470,True,Approved,medium,33,Standard,small,November,28-11-2017,93,1311.44,36498,144.26,1167.18
OHM Cycles,1,False,Approved,medium,86,Standard,medium,December,23-12-2017,94,235.63,38482,110.56,125.07
Solex,757,False,Approved,medium,45,Standard,medium,February,26-02-2017,95,441.49,34071,356.5,84.99
Giant Bicycles,1778,False,Approved,medium,1,Standard,medium,February,21-02-2017,96,1403.5,40649,448.68,954.82
OHM Cycles,211,True,Approved,low,80,Touring,medium,May,31-05-2017,97,1073.07,38339,139.23,933.84
Trek Bicycles,333,,Approved,medium,49,Road,medium,,23-06-2017,98,533.51,37823,,400.13
Giant Bicycles,32,False,Approved,medium,95,Standard,large,March,26-03-2017,99,569.56,37874,41.13,528.43
Solex,119,False,Approved,medium,0,Standard,medium,July,31-07-2017,100,478.16,36146,179.44,298.72
Norco Bicycles,2347,False,Approved,high,18,Standard,medium,July,27-07-2017,101,1148.64,42226,459.46,689.18
Giant Bicycles,2353,False,Approved,high,4,Standard,medium,April,14-04-2017,102,1129.13,40649,451.65,677.48
Giant Bicycles,788,False,Approved,medium,33,Standard,small,November,12-11-2017,103,1311.44,33888,144.26,1167.18
Giant Bicycles,1468,False,Approved,medium,78,Standard,large,September,12-09-2017,104,1765.3,38193,1055.82,709.48
WeareA2B,821,False,Approved,medium,89,Touring,large,October,26-10-2017,105,1362.99,41434,1305.25,57.74
Trek Bicycles,2489,False,Approved,high,70,Standard,medium,February,15-02-2017,106,495.72,42105,198.29,297.43
Norco Bicycles,2710,False,Approved,medium,79,Standard,medium,December,22-12-2017,107,1555.58,37873,737.57,818.01
WeareA2B,947,True,Approved,medium,26,Standard,medium,October,11-10-2017,108,1992.93,34115,1230.3,762.63
Giant Bicycles,1335,True,Approved,medium,39,Standard,large,March,27-03-2017,109,1812.75,38991,1230.27,582.48
Solex,1076,False,Approved,low,36,Standard,medium,November,04-11-2017,110,945.04,35052,437.46,507.58
OHM Cycles,3320,True,Approved,low,0,Standard,medium,June,11-06-2017,111,71.16,42172,14.23,56.93
Giant Bicycles,779,False,Approved,medium,84,Road,medium,October,09-10-2017,112,792.9,33879,198.22,594.68
Trek Bicycles,3296,True,Approved,high,98,Standard,medium,June,07-06-2017,113,358.39,33364,143.36,215.03
Giant Bicycles,455,True,Approved,medium,75,Touring,large,October,24-10-2017,114,1873.97,37873,1010.02,863.95
WeareA2B,1779,False,Approved,low,76,Standard,medium,May,01-05-2017,115,642.31,38482,128.46,513.85
Norco Bicycles,2703,True,Approved,medium,72,Standard,medium,November,21-11-2017,116,360.4,40553,90.1,270.3
OHM Cycles,806,False,Approved,medium,42,Road,small,March,24-03-2017,117,1810,34071,199.1,1610.9
Trek Bicycles,22,False,Approved,medium,20,Standard,small,March,21-03-2017,118,1775.81,40303,195.34,1580.47
Trek Bicycles,1591,False,Approved,medium,64,Standard,large,February,20-02-2017,119,1469.44,38647,872.89,596.55
Trek Bicycles,678,False,Approved,high,0,Standard,medium,June,16-06-2017,120,495.72,42105,198.29,297.43
Giant Bicycles,50,False,Approved,medium,25,Road,medium,December,04-12-2017,121,1538.99,33888,709.34,829.65
Solex,1038,True,Approved,medium,24,Road,large,December,01-12-2017,122,1777.8,34115,957.02,820.78
WeareA2B,1453,True,Approved,medium,31,Standard,medium,March,05-03-2017,123,752.64,42218,547.28,205.36
OHM Cycles,1339,False,Approved,medium,98,Standard,medium,March,21-03-2017,124,795.34,35470,693.76,101.58
Solex,3382,True,Approved,medium,22,Standard,medium,January,03-01-2017,125,575.27,41345,143.82,431.45
OHM Cycles,773,False,Approved,medium,53,Standard,medium,April,01-04-2017,126,795.34,37823,693.76,101.58
Trek Bicycles,2503,True,Approved,medium,84,Road,medium,March,16-03-2017,127,290.62,38482,75.48,215.14
Giant Bicycles,1057,False,Approved,medium,25,Road,medium,February,26-02-2017,128,1538.99,42404,709.34,829.65
WeareA2B,1397,False,Approved,medium,50,Standard,small,June,05-06-2017,129,175.89,42295,43.97,131.92
WeareA2B,2134,False,Approved,medium,44,Standard,medium,September,04-09-2017,130,1769.64,40672,1660.88,108.76
WeareA2B,2403,True,Approved,low,96,Road,small,January,18-01-2017,131,1172.78,37539,129.01,1043.77
WeareA2B,1937,False,Approved,medium,12,Standard,medium,September,28-09-2017,132,1231.15,38216,1069.55,161.6
WeareA2B,1282,True,Approved,medium,93,Standard,medium,September,02-09-2017,133,1065.03,37539,834.94,230.09
Giant Bicycles,2183,False,Approved,medium,78,Standard,large,May,09-05-2017,134,1765.3,33429,1055.82,709.48
Giant Bicycles,1788,False,Approved,medium,84,Road,medium,October,17-10-2017,135,792.9,38859,198.22,594.68
WeareA2B,1170,True,Approved,medium,65,Standard,medium,April,25-04-2017,136,1807.45,42105,1028.76,778.69
,431,False,Approved,,0,,,,23-09-2017,137,1942.61,,,
WeareA2B,1940,False,Approved,medium,29,Standard,medium,August,02-08-2017,138,1065.03,36833,834.94,230.09
Giant Bicycles,2073,False,Cancelled,high,32,Standard,medium,March,25-03-2017,139,1179,36833,471.6,707.4
Giant Bicycles,462,False,Approved,high,11,Standard,medium,January,01-01-2017,140,1274.93,42560,509.97,764.96
Solex,2728,False,Approved,medium,10,Standard,medium,December,22-12-2017,141,1945.43,37499,1612.25,333.18
Solex,2053,False,Approved,low,46,Standard,medium,December,25-12-2017,142,1289.85,41064,1215.34,74.51
Giant Bicycles,2135,True,Approved,high,60,Standard,small,January,26-01-2017,143,1977.36,41047,217.51,1759.85
WeareA2B,1217,False,Approved,medium,92,Touring,large,December,20-12-2017,144,1890.39,33259,1630.25,260.14
Trek Bicycles,2992,True,Approved,low,7,Road,medium,June,07-06-2017,145,980.37,38693,745.94,234.43
Solex,3261,True,Approved,medium,41,Road,medium,April,06-04-2017,146,416.98,35560,104.24,312.74
Norco Bicycles,2748,True,Approved,medium,67,Road,medium,April,25-04-2017,147,544.05,38647,167.21,376.84
Trek Bicycles,3262,False,Approved,medium,14,Standard,small,January,13-01-2017,148,1386.84,37838,152.55,1234.29
WeareA2B,788,False,Approved,medium,89,Touring,large,March,21-03-2017,149,1362.99,34079,1305.25,57.74
OHM Cycles,3067,True,Approved,medium,9,Road,medium,November,21-11-2017,150,742.54,34586,75.14,667.4
Giant Bicycles,701,False,Approved,medium,31,Standard,medium,November,11-11-2017,151,230.91,37698,57.73,173.18
WeareA2B,648,False,Approved,medium,92,Standard,small,October,16-10-2017,152,1415.01,36833,155.65,1259.36
OHM Cycles,3286,True,Approved,low,37,Standard,medium,August,19-08-2017,153,1793.43,36361,1544.61,248.82
Trek Bicycles,3383,True,Approved,medium,3,Standard,large,April,06-04-2017,154,2091.47,40784,1702.55,388.92
Norco Bicycles,982,True,Approved,low,56,Mountain,small,November,04-11-2017,155,688.63,42404,75.75,612.88
Solex,676,True,Approved,high,14,Standard,large,August,22-08-2017,156,1842.92,37873,737.17,1105.75
Solex,385,True,Approved,high,6,Standard,medium,September,15-09-2017,157,748.17,42105,299.27,448.9
WeareA2B,1229,True,Approved,medium,50,Standard,small,March,01-03-2017,158,175.89,39915,43.97,131.92
WeareA2B,3232,False,Approved,medium,10,Touring,medium,August,16-08-2017,159,1466.68,41345,1103.43,363.25
,3300,False,Approved,,0,,,,27-08-2017,160,1656.86,,,
Giant Bicycles,2381,False,Approved,medium,69,Road,medium,July,10-07-2017,161,792.9,42105,198.22,594.68
Giant Bicycles,371,False,Approved,medium,78,Standard,large,December,11-12-2017,162,1765.3,38193,1055.82,709.48
OHM Cycles,2519,True,Approved,low,80,Touring,medium,May,20-05-2017,163,1073.07,42226,139.23,933.84
Solex,2264,False,Approved,high,17,Standard,medium,July,30-07-2017,164,1024.66,35378,409.86,614.8
Trek Bicycles,2637,True,Approved,medium,3,Standard,large,October,25-10-2017,165,2091.47,38573,1702.55,388.92
Giant Bicycles,3262,False,Approved,medium,78,Standard,large,November,27-11-2017,166,1765.3,38193,1055.82,709.48
Norco Bicycles,3177,,Approved,low,90,Standard,medium,,26-04-2017,167,363.01,38482,,290.41
Giant Bicycles,2267,False,Approved,high,87,Standard,medium,February,02-02-2017,168,1179,35667,471.6,707.4
Solex,456,False,Approved,medium,97,Standard,large,May,02-05-2017,169,202.62,38002,50.66,151.96
OHM Cycles,404,,Approved,high,6,Standard,medium,,16-10-2017,170,227.88,37838,,136.73
Norco Bicycles,3121,False,Approved,medium,100,Road,medium,October,22-10-2017,171,1036.59,33364,830.24,206.35
Trek Bicycles,2365,True,Approved,medium,55,Road,large,April,11-04-2017,172,1894.19,33259,1295.43,598.76
Norco Bicycles,2528,False,Approved,medium,100,Road,medium,November,16-11-2017,173,1036.59,33364,830.24,206.35
WeareA2B,3151,False,Approved,medium,10,Touring,medium,December,17-12-2017,174,1466.68,34586,1103.43,363.25
Giant Bicycles,3241,False,Approved,medium,25,Road,medium,December,23-12-2017,175,1538.99,42696,709.34,829.65
WeareA2B,1335,True,Approved,medium,74,Standard,medium,March,30-03-2017,176,1228.07,37873,827.16,400.91
Norco Bicycles,2234,False,Approved,low,90,Standard,medium,April,13-04-2017,177,363.01,38482,72.6,290.41
OHM Cycles,3226,True,Approved,medium,56,Standard,medium,July,25-07-2017,178,183.86,35707,45.96,137.9
Solex,1365,False,Approved,medium,62,Standard,medium,January,31-01-2017,179,478.16,34143,179.44,298.72
Trek Bicycles,3349,True,Approved,medium,20,Standard,small,March,18-03-2017,180,1775.81,40303,195.34,1580.47
Solex,1002,False,Approved,high,17,Standard,medium,February,24-02-2017,181,1024.66,40670,409.86,614.8
Norco Bicycles,2282,False,Approved,high,16,Standard,small,February,18-02-2017,182,1661.92,41345,182.81,1479.11
Solex,2656,False,Approved,low,46,Standard,medium,January,07-01-2017,183,1289.85,41064,1215.34,74.51
Solex,2409,True,Approved,high,71,Standard,large,July,05-07-2017,184,1842.92,34996,737.17,1105.75
WeareA2B,1711,False,Approved,low,91,Standard,medium,November,19-11-2017,185,642.31,38193,128.46,513.85
Solex,2582,True,Approved,high,17,Standard,medium,November,08-11-2017,186,1024.66,35378,409.86,614.8
Giant Bicycles,1005,True,Approved,medium,1,Touring,large,July,24-07-2017,187,1873.97,37873,1010.02,863.95
Trek Bicycles,1597,True,Approved,medium,3,Standard,large,January,15-01-2017,188,2091.47,41167,1702.55,388.92
OHM Cycles,2713,True,Approved,medium,56,Standard,medium,January,12-01-2017,189,183.86,34143,45.96,137.9
OHM Cycles,1435,True,Approved,low,37,Standard,medium,November,27-11-2017,190,1793.43,40672,1544.61,248.82
Norco Bicycles,1477,True,Approved,high,34,Road,large,June,30-06-2017,191,774.53,39526,309.81,464.72
Giant Bicycles,1614,True,Approved,medium,0,Standard,medium,July,15-07-2017,192,230.91,39031,57.73,173.18
WeareA2B,1254,True,Approved,medium,12,Standard,medium,June,22-06-2017,193,1231.15,39880,1069.55,161.6
Giant Bicycles,1423,False,Approved,medium,25,Road,medium,May,02-05-2017,194,1538.99,40553,709.34,829.65
Norco Bicycles,276,False,Approved,medium,81,Standard,small,December,27-12-2017,195,586.45,33429,64.51,521.94
OHM Cycles,1315,True,Approved,high,19,Road,large,December,21-12-2017,196,12.01,36334,4.8,7.21
Solex,591,True,Approved,medium,45,Standard,medium,May,23-05-2017,197,441.49,34071,356.5,84.99
WeareA2B,1017,False,Approved,medium,74,Standard,medium,February,02-02-2017,198,1762.96,41848,812.44,950.52
Giant Bicycles,2123,False,Approved,medium,33,Standard,small,June,08-06-2017,199,1311.44,33888,144.26,1167.18
WeareA2B,2889,True,Approved,medium,57,Touring,large,April,15-04-2017,200,1890.39,34143,1630.25,260.14
Trek Bicycles,3208,True,Approved,medium,0,Road,medium,September,05-09-2017,201,533.51,41064,133.38,400.13
Norco Bicycles,2406,True,Approved,low,23,Mountain,small,February,26-02-2017,202,688.63,39031,75.75,612.88
Norco Bicycles,2041,False,Approved,medium,67,Road,medium,July,29-07-2017,203,544.05,38647,167.21,376.84
Norco Bicycles,1598,True,Approved,medium,81,Standard,small,July,03-07-2017,204,586.45,33429,64.51,521.94
OHM Cycles,1842,True,Approved,medium,58,Standard,medium,May,27-05-2017,205,912.52,42295,771.12,141.4
Giant Bicycles,141,False,Approved,high,5,Standard,medium,May,05-05-2017,206,1129.13,38573,451.65,677.48
Giant Bicycles,1321,False,Approved,medium,94,Standard,large,September,09-09-2017,207,1635.3,41434,641.64,993.66
OHM Cycles,183,False,Approved,high,51,Standard,medium,May,21-05-2017,208,2005.66,41009,802.26,1203.4
WeareA2B,2591,False,Approved,medium,59,Standard,small,September,22-09-2017,209,1415.01,37626,155.65,1259.36
Solex,3356,True,Approved,medium,63,Standard,medium,April,12-04-2017,210,1483.2,33879,1383.61,99.59
OHM Cycles,766,True,Approved,high,40,Standard,medium,May,07-05-2017,211,1458.17,38750,583.27,874.9
Trek Bicycles,1596,False,Approved,medium,80,Standard,large,January,13-01-2017,212,1469.44,38647,872.89,596.55
Norco Bicycles,520,False,Approved,high,82,Standard,medium,December,14-12-2017,213,1148.64,42226,459.46,689.18
Solex,868,True,Approved,low,46,Standard,medium,March,22-03-2017,214,1289.85,41009,1215.34,74.51
Giant Bicycles,2999,False,Approved,medium,78,Standard,large,September,30-09-2017,215,1765.3,42226,1055.82,709.48
Norco Bicycles,352,True,Approved,medium,72,Standard,medium,November,29-11-2017,216,360.4,42710,90.1,270.3
Giant Bicycles,1140,False,Approved,medium,75,Touring,large,June,09-06-2017,217,1873.97,38193,1010.02,863.95
Trek Bicycles,621,False,Approved,medium,40,Road,large,April,21-04-2017,218,1894.19,37823,1295.43,598.76
Giant Bicycles,3307,False,Approved,low,2,Road,small,November,13-11-2017,219,590.26,40487,64.930000000,525.33
WeareA2B,1502,True,Approved,medium,10,Touring,medium,April,09-04-2017,220,1466.68,41345,1103.43,363.25
Giant Bicycles,936,False,Approved,medium,35,Standard,medium,May,08-05-2017,221,1403.5,42688,448.68,954.82
Solex,939,True,Approved,medium,8,Road,small,July,08-07-2017,222,1703.52,40649,187.39,1516.13
Giant Bicycles,2698,False,Approved,low,2,Road,small,November,30-11-2017,223,590.26,40487,64.930000000,525.33
Giant Bicycles,579,True,Approved,medium,69,Road,medium,April,25-04-2017,224,792.9,33879,198.22,594.68
WeareA2B,2036,True,Approved,medium,54,Standard,medium,March,30-03-2017,225,1292.84,39915,1279.4,13.44
Solex,3077,False,Approved,medium,8,Road,small,March,10-03-2017,226,1703.52,34079,187.39,1516.13
OHM Cycles,369,True,Approved,medium,86,Standard,medium,March,16-03-2017,227,235.63,38482,110.56,125.07
Solex,821,True,Approved,medium,13,Standard,medium,April,04-04-2017,228,1163.89,41345,574.62,589.27
Trek Bicycles,2687,True,Approved,low,19,Mountain,medium,March,13-03-2017,229,574.64,40784,114.93,459.71
OHM Cycles,681,True,Approved,medium,86,Standard,medium,December,23-12-2017,230,235.63,41434,110.56,125.07
OHM Cycles,37,True,Approved,low,46,Standard,medium,August,12-08-2017,231,1793.43,36361,1544.61,248.82
Solex,3002,False,Approved,high,30,Standard,medium,August,04-08-2017,232,748.17,36361,299.27,448.9
WeareA2B,396,False,Approved,medium,92,Touring,large,September,01-09-2017,233,1890.39,33259,1630.25,260.14
Solex,550,True,Approved,high,71,Standard,large,September,01-09-2017,234,1842.92,34996,737.17,1105.75
Norco Bicycles,1605,False,Approved,medium,77,Road,large,July,02-07-2017,235,1240.31,40553,445.21,795.1
Giant Bicycles,2325,True,Approved,medium,7,Standard,small,August,31-08-2017,236,1311.44,37698,144.26,1167.18
Norco Bicycles,1420,True,Approved,low,23,Mountain,small,March,11-03-2017,237,688.63,34244,75.75,612.88
WeareA2B,3099,False,Approved,medium,12,Standard,medium,October,08-10-2017,238,1231.15,34586,1069.55,161.6
OHM Cycles,1645,True,Approved,low,61,Standard,medium,October,01-10-2017,239,71.16,42145,14.23,56.93
Solex,546,False,Approved,medium,21,Standard,large,November,23-11-2017,240,1071.23,33552,690.49,380.74
OHM Cycles,2885,True,Approved,medium,86,Standard,medium,March,27-03-2017,241,235.63,37626,110.56,125.07
WeareA2B,2740,False,Approved,medium,57,Touring,large,December,04-12-2017,242,1890.39,36146,1630.25,260.14
Solex,3166,True,Approved,medium,63,Standard,medium,November,13-11-2017,243,1483.2,36146,1383.61,99.59
WeareA2B,3487,True,Approved,medium,63,Standard,medium,December,20-12-2017,244,1992.93,34115,1230.3,762.63
Giant Bicycles,2890,True,Approved,medium,33,Standard,small,September,22-09-2017,245,1311.44,40336,144.26,1167.18
OHM Cycles,3370,False,Approved,medium,98,Standard,medium,January,22-01-2017,246,795.34,42172,693.76,101.58
Norco Bicycles,3393,True,Approved,low,15,Standard,medium,January,29-01-2017,247,958.74,39880,209.84,748.9
WeareA2B,2410,False,Approved,medium,57,Touring,large,July,21-07-2017,248,1890.39,34143,1630.25,260.14
OHM Cycles,3466,True,Approved,low,61,Standard,medium,February,10-02-2017,249,71.16,42172,14.23,56.93
WeareA2B,1454,False,Cancelled,medium,48,Standard,medium,November,25-11-2017,250,1762.96,35470,812.44,950.52
Solex,1967,,Approved,medium,63,Standard,medium,,11-04-2017,251,1483.2,42145,,99.59
Giant Bicycles,3089,False,Approved,medium,78,Standard,large,December,03-12-2017,252,1765.3,41533,1055.82,709.48
Giant Bicycles,3123,False,Approved,low,2,Road,small,December,30-12-2017,253,590.26,40487,64.930000000,525.33
Solex,2692,False,Approved,medium,67,Standard,large,July,26-07-2017,254,1071.23,36334,690.49,380.74
